Title,Price,Availability,Rating,In_Stock
A Light in the Attic,51.77,In stock,3,In Stock
Tipping the Velvet,53.74,In stock,1,In Stock
Soumission,50.1,In stock,1,In Stock
Sharp Objects,47.82,In stock,4,In Stock
Sapiens: A Brief History of Humankind,54.23,In stock,5,In Stock
The Requiem Red,22.65,In stock,1,In Stock
The Dirty Little Secrets of Getting Your Dream Job,33.34,In stock,4,In Stock
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,In stock,3,In Stock
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,In stock,4,In Stock
The Black Maria,52.15,In stock,1,In Stock
"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,In stock,2,In Stock
Shakespeare's Sonnets,20.66,In stock,4,In Stock
Set Me Free,17.46,In stock,5,In Stock
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,In stock,5,In Stock
Rip it Up and Start Again,35.02,In stock,5,In Stock
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,In stock,3,In Stock
Olio,23.88,In stock,1,In Stock
Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,In stock,1,In Stock
Libertarianism for Beginners,51.33,In stock,2,In Stock
It's Only the Himalayas,45.17,In stock,2,In Stock
In Her Wake,12.84,In stock,1,In Stock
How Music Works,37.32,In stock,2,In Stock
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",30.52,In stock,3,In Stock
Chase Me (Paris Nights #2),25.27,In stock,5,In Stock
Black Dust,34.53,In stock,5,In Stock
Birdsong: A Story in Pictures,54.64,In stock,3,In Stock
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,22.5,In stock,3,In Stock
Aladdin and His Wonderful Lamp,53.13,In stock,3,In Stock
Worlds Elsewhere: Journeys Around Shakespeareâs Globe,40.3,In stock,5,In Stock
Wall and Piece,44.18,In stock,4,In Stock
The Four Agreements: A Practical Guide to Personal Freedom,17.66,In stock,5,In Stock
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,31.05,In stock,3,In Stock
The Elephant Tree,23.82,In stock,5,In Stock
The Bear and the Piano,36.89,In stock,1,In Stock
Sophie's World,15.94,In stock,5,In Stock
Penny Maybe,33.29,In stock,3,In Stock
Maude (1883-1993):She Grew Up with the country,18.02,In stock,2,In Stock
"In a Dark, Dark Wood",19.63,In stock,1,In Stock
Behind Closed Doors,52.22,In stock,4,In Stock
You can't bury them all: Poems,33.63,In stock,2,In Stock
Slow States of Collapse: Poems,57.31,In stock,3,In Stock
Reasons to Stay Alive,26.41,In stock,2,In Stock
Private Paris (Private #10),47.61,In stock,5,In Stock
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,23.11,In stock,5,In Stock
Without Borders (Wanderlove #1),45.07,In stock,2,In Stock
When We Collided,31.77,In stock,1,In Stock
"We Love You, Charlie Freeman",50.27,In stock,5,In Stock
Untitled Collection: Sabbath Poems 2014,14.27,In stock,4,In Stock
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",44.18,In stock,4,In Stock
Unicorn Tracks,18.78,In stock,3,In Stock
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",25.52,In stock,1,In Stock
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),16.28,In stock,1,In Stock
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,31.12,In stock,3,In Stock
This One Summer,19.49,In stock,4,In Stock
Thirst,17.27,In stock,5,In Stock
The Torch Is Passed: A Harding Family Story,19.09,In stock,1,In Stock
The Secret of Dreadwillow Carse,56.13,In stock,1,In Stock
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",56.41,In stock,1,In Stock
The Past Never Ends,56.5,In stock,4,In Stock
The Natural History of Us (The Fine Art of Pretending #2),45.22,In stock,3,In Stock
The Nameless City (The Nameless City #1),38.16,In stock,4,In Stock
The Murder That Never Was (Forensic Instincts #5),54.11,In stock,3,In Stock
The Most Perfect Thing: Inside (and Outside) a Bird's Egg,42.96,In stock,4,In Stock
"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",23.89,In stock,4,In Stock
